idOrganization,idService,idServiceAtLocation,idLocation,idContact,idPhone,number,extension
211indiana-10,211indiana-9907,211indiana-9907-11,211indiana-11,NULL,5.71142E+18,(574) 293-0776,NULL
211indiana-1000,211indiana-8932,211indiana-8932-1731,211indiana-1731,NULL,4.29878E+18,(765) 478-9640,NULL
211indiana-10000,211indiana-24668,211indiana-24668-15961,211indiana-15961,NULL,3.07815E+18,(812) 584-0125,NULL
211indiana-10221,211indiana-25090,211indiana-25090-16908,211indiana-16908,NULL,8.47481E+18,(812) 384-8459,NULL
211indiana-105,211indiana-15068,211indiana-15068-160,211indiana-160,NULL,6.78688E+18,(800) 654-9421,NULL
211indiana-105,211indiana-15071,211indiana-15071-165,211indiana-165,NULL,1.48468E+18,(800) 654-9421,NULL
211indiana-105,211indiana-12350,211indiana-12350-158,211indiana-158,NULL,6.08957E+18,(800) 654-9421,NULL
211indiana-105,211indiana-15067,211indiana-15067-158,211indiana-158,NULL,7.75063E+18,(800) 654-9421,NULL
211indiana-105,211indiana-15069,211indiana-15069-161,211indiana-161,NULL,7.63765E+18,(800) 654-9421,NULL
211indiana-1050,211indiana-9233,211indiana-9233-1784,211indiana-1784,NULL,3.95088E+18,(765) 541-1104,NULL
211indiana-10660,211indiana-43210,211indiana-43210-54221,211indiana-54221,NULL,3.28639E+18,(765) 729-5845,NULL
